"","district","weekstartdate","anycases","totalcases","est"
"1","moody",2004-11-21,0,0,3.91047438066779e-06
"2","union",2004-07-18,0,0,0.0550653534755014
"3","moody",2004-11-14,0,0,8.35324735691334e-06
"4","marshall",2004-10-31,0,0,0.000256220625386842
"5","marshall",2004-07-25,0,0,0.0494309900885982
"6","marshall",2004-10-24,0,0,0.000507257693476762
"7","moody",2004-10-31,0,0,5.54652947011808e-05
"8","moody",2004-09-26,0,0,0.00115539898271404
"9","union",2004-10-03,0,0,0.00300460963153013
"10","marshall",2004-08-15,0,0,0.0213929363200713
"11","moody",2004-10-24,0,0,9.21980978304899e-05
"12","moody",2004-10-17,0,0,0.000139756645466147
"13","moody",2004-09-19,0,0,0.00131738377704672
"14","marshall",2004-08-22,0,0,0.0143226464133715
"15","moody",2004-11-28,0,0,1.31160557101239e-06
"16","marshall",2004-11-07,0,0,0.000110173528037702
"17","moody",2004-12-05,0,0,4.61650055200513e-07
"18","marshall",2004-08-01,0,0,0.0422063157404006
"19","union",2004-07-04,0,0,0.0311580237142316
"20","moody",2004-12-19,0,0,7.57196189807933e-08
"21","moody",2004-08-15,0,0,0.00431466187225795
"22","moody",2004-08-22,0,0,0.00274547552526426
"23","moody",2004-10-03,0,0,0.000582558259322857
"24","moody",2004-11-07,0,0,2.52009216981272e-05
"25","union",2004-10-17,0,0,0.000847244445018085
"26","union",2004-10-24,0,0,0.000625379711366965
"27","union",2004-06-27,0,0,0.0212090709404684
"28","lincoln",2004-10-17,0,0,0.0023817011842487
"29","union",2004-07-11,0,0,0.0389982872197401
"30","marshall",2004-11-14,0,0,3.4510334257393e-05
"31","marshall",2004-11-21,0,0,1.39034920155139e-05
"32","moody",2004-12-12,0,0,2.23159438565464e-07
"33","marshall",2004-11-28,0,0,4.57834621661941e-06
"34","marshall",2004-12-05,0,0,1.85596361592588e-06
"35","moody",2004-12-26,0,0,2.02335159049622e-08
"36","union",2004-08-29,0,0,0.0138809828431039
"37","moody",2004-10-10,0,0,0.000321675935621938
"38","moody",2004-09-05,0,0,0.00216604187251553
"39","marshall",2004-07-18,0,0,0.0429187885972426
"40","lincoln",2004-10-10,0,0,0.00509271202709105
"41","marshall",2004-10-10,0,0,0.00236101124428871
"42","marshall",2004-08-08,0,0,0.0392975063286986
"43","clark",2004-12-26,0,0,7.54983783790323e-08
"44","union",2004-07-25,0,0,0.0634690150165573
"45","union",2004-08-01,0,0,0.0505042086183844
"46","codington",2004-09-12,0,0,0.0269295692790722
"47","moody",2004-08-08,0,0,0.00837415209046008
"48","brookings",2004-10-31,0,0,0.000712563551052268
"49","brookings",2004-11-07,0,0,0.000319218990120539
"50","union",2004-10-10,0,0,0.00173057245159681
"51","union",2004-09-05,0,0,0.0119894793437659
"52","moody",2004-09-12,0,0,0.00156695206518189
"53","marshall",2004-10-03,0,0,0.00390112399532151
"54","union",2004-10-31,0,0,0.000434347051567594
"55","marshall",2004-10-17,0,0,0.000968545151494489
"56","codington",2004-08-22,0,0,0.0371431580331036
"57","codington",2004-08-29,0,0,0.0335256932823603
"58","codington",2004-09-05,0,0,0.0346014053905343
"59","union",2004-11-21,0,0,3.6712092354245e-05
"60","union",2004-08-08,0,0,0.0484697357083407
"61","union",2004-08-15,0,0,0.0242683483365603
"62","union",2004-08-22,0,0,0.0160309299948063
"63","moody",2004-08-29,0,0,0.00230899123927608
"64","marshall",2004-07-04,0,0,0.017866190325152
"65","union",2004-09-12,0,0,0.00797828432040763
"66","union",2004-09-19,0,0,0.0067199842033613
"67","brookings",2004-08-01,0,0,0.110071065729501
"68","brookings",2004-08-08,0,0,0.107218076292959
"69","brookings",2004-08-15,0,0,0.0586186469408482
"70","brookings",2004-09-26,0,0,0.0170586978384731
"71","marshall",2004-08-29,0,0,0.0128182159962973
"72","marshall",2004-09-05,0,0,0.0125609092679425
"73","marshall",2004-09-12,0,0,0.00953305572005248
"74","marshall",2004-09-19,0,0,0.00835254517469874
"75","lincoln",2004-12-26,0,0,3.52667314428605e-07
"76","marshall",2004-12-12,0,0,8.1582339848096e-07
"77","brookings",2004-11-14,0,0,0.000105733482230507
"78","brookings",2004-11-21,0,0,4.8330822754599e-05
"79","lincoln",2004-10-03,0,0,0.00896666754950687
"80","clark",2004-10-24,0,0,0.000484669067747985
"81","clark",2004-10-31,0,0,0.000256038204001727
"82","clark",2004-11-07,0,0,0.000109514959563119
"83","clark",2004-11-14,0,0,3.50429280220646e-05
"84","clark",2004-11-21,0,0,1.44006456982327e-05
"85","clark",2004-11-28,0,0,4.80848673661683e-06
"86","clark",2004-12-05,0,0,1.79562915816034e-06
"87","codington",2004-09-19,0,0,0.0235365657029967
"88","codington",2004-09-26,0,0,0.0206649340978283
"89","lincoln",2004-12-19,0,0,1.2767282746828e-06
"90","grant",2004-10-24,0,0,0.000433556583387202
"91","grant",2004-10-31,0,0,0.000224771632659068
"92","marshall",2004-09-26,0,0,0.00736875209273273
"93","grant",2004-11-14,0,0,3.13364865934468e-05
"94","union",2004-09-26,0,0,0.00577988322148585
"95","grant",2004-12-12,0,0,8.16606843991478e-07
"96","grant",2004-12-19,0,0,2.73838627034836e-07
"97","union",2004-11-07,0,0,0.000211603083683738
"98","union",2004-11-14,0,0,7.40788174128234e-05
"99","kingsbury",2004-09-05,0,0,0.0123628674850237
"100","kingsbury",2004-09-12,0,0,0.00948233616476329
"101","union",2004-11-28,0,0,1.17456223459314e-05
"102","codington",2004-10-03,0,0,0.0107584808514555
"103","marshall",2004-06-27,0,0,0.00974293125286474
"104","brookings",2004-07-11,0,0,0.0754582619413728
"105","grant",2004-11-07,0,0,9.75267710066502e-05
"106","brookings",2004-07-25,0,0,0.129614145168245
"107","minnehaha",2004-12-12,0,0,6.05197888909067e-06
"108","minnehaha",2004-12-19,0,0,2.13602005129335e-06
"109","minnehaha",2004-12-26,0,0,5.93292905174515e-07
"110","brookings",2004-08-22,0,0,0.0386957877050134
"111","brookings",2004-08-29,0,0,0.0329064641943276
"112","brookings",2004-10-03,0,0,0.00874403731320714
"113","brookings",2004-10-10,0,0,0.00481909141148586
"114","brookings",2004-10-17,0,0,0.00201194865787918
"115","brookings",2004-10-24,0,0,0.00125683169885485
"116","codington",2004-06-27,0,0,0.0263876466903113
"117","clark",2004-10-03,0,0,0.00397102666175397
"118","clark",2004-10-10,0,0,0.00222905106967081
"119","clark",2004-10-17,0,0,0.000891677283680812
"120","codington",2004-07-25,0,0,0.107507430288819
"121","codington",2004-08-01,0,0,0.0925197423009697
"122","codington",2004-08-08,0,0,0.0931255151904782
"123","codington",2004-08-15,0,0,0.0527887109407021
"124","brookings",2004-12-19,0,0,9.94888452568465e-07
"125","brookings",2004-12-26,0,0,2.62731220916249e-07
"126","day",2004-10-03,0,0,0.00497279972090297
"127","grant",2004-10-03,0,0,0.00338888407137857
"128","grant",2004-10-10,0,0,0.00191635054898434
"129","grant",2004-10-17,0,0,0.000764810328428607
"130","day",2004-10-31,0,0,0.000304970768657388
"131","codington",2004-10-10,0,0,0.00595387184159642
"132","codington",2004-10-17,0,0,0.00228711665003564
"133","codington",2004-10-24,0,0,0.00126923853111173
"134","grant",2004-11-21,0,0,1.37310795774491e-05
"135","grant",2004-11-28,0,0,4.6027526932812e-06
"136","grant",2004-12-05,0,0,1.77584355968527e-06
"137","kingsbury",2004-08-22,0,0,0.0150435753452979
"138","kingsbury",2004-08-29,0,0,0.0128051924738436
"139","codington",2004-12-05,0,0,4.82349430142497e-06
"140","codington",2004-12-12,0,0,2.23146181110108e-06
"141","codington",2004-12-19,0,0,7.71888803323819e-07
"142","brookings",2004-06-27,0,0,0.0334888076888833
"143","brookings",2004-07-04,0,0,0.0557100673353691
"144","mccook",2004-08-08,0,0,0.0424434005350479
"145","marshall",2004-07-11,0,0,0.0256504310699333
"146","hamlin",2004-12-26,0,0,1.26362671876151e-07
"147","union",2004-12-26,0,0,1.41225735753156e-07
"148","kingsbury",2004-10-31,0,0,0.000291435347204202
"149","kingsbury",2004-11-07,0,0,0.000126928864293581
"150","clark",2004-07-18,0,0,0.039193208521594
"151","moody",2004-06-27,0,0,0.00271180145252861
"152","moody",2004-07-04,0,0,0.00448925955054951
"153","moody",2004-07-11,0,0,0.00601871035693981
"154","moody",2004-07-18,0,0,0.00922461467233557
"155","moody",2004-07-25,0,0,0.0106827804087142
"156","moody",2004-08-01,0,0,0.00879643211829495
"157","codington",2004-07-04,0,0,0.0448009174619753
"158","codington",2004-07-11,0,0,0.0619040134069167
"159","codington",2004-07-18,0,0,0.0953959276085786
"160","clark",2004-09-19,0,0,0.00935444842339371
"161","grant",2004-06-27,0,0,0.00959024622606978
"162","grant",2004-07-04,0,0,0.0172679868169336
"163","grant",2004-07-11,0,0,0.0248673021582362
"164","grant",2004-07-18,0,0,0.0392917807169646
"165","grant",2004-07-25,0,0,0.0442898291878586
"166","grant",2004-08-01,0,0,0.0361752812975444
"167","day",2004-10-10,0,0,0.00287501674277012
"168","day",2004-10-17,0,0,0.00112733583170941
"169","day",2004-10-24,0,0,0.000599845577269242
"170","clark",2004-12-19,0,0,2.72889965848833e-07
"171","grant",2004-09-26,0,0,0.00642103209123382
"172","kingsbury",2004-07-04,1,1,0.0226504365930553
"173","kingsbury",2004-07-11,1,1,0.0302474034670324
"174","codington",2004-10-31,0,0,0.000647785010643754
"175","codington",2004-11-07,0,0,0.000275017303515666
"176","codington",2004-11-14,0,0,8.84323954223061e-05
"177","codington",2004-11-21,0,0,3.81332766212291e-05
"178","codington",2004-11-28,0,0,1.29024826155229e-05
"179","day",2004-12-26,0,0,8.91719831963844e-08
"180","mccook",2004-07-04,0,0,0.0255201038047188
"181","mccook",2004-07-11,0,0,0.0332149921991833
"182","kingsbury",2004-09-19,0,0,0.00810296733393968
"183","grant",2004-12-26,0,0,6.72972765933873e-08
"184","union",2004-12-05,0,0,3.45387887552224e-06
"185","brookings",2004-07-18,0,0,0.11369416111423
"186","union",2004-12-19,0,0,5.36656739196357e-07
"187","mccook",2004-08-22,0,0,0.0149878698034365
"188","mccook",2004-08-29,0,0,0.0127237734006185
"189","mccook",2004-09-05,0,0,0.0120037202586355
"190","kingsbury",2004-11-14,0,0,4.05215894884493e-05
